config,seed,role,family,loss,accuracy,top_layer,top_head,top_head_dim,top_role_score,global_top_specialization,effective_heads,top_dim,top_dim_mass,head_dim_affinity_json
"32,96",2,kv_b,kv_lookup,0.001675284031080082,1.0,1,1,96,3.200933837768389,0.5021389121255055,2.0192953321259592,96,0.9987030876208524,"{""32"": 0.0012969123791476045, ""96"": 0.9987030876208524}"
"32,96",2,induction_short,induction,0.001361112401355058,0.9997209906578064,0,0,32,3.6305555893923156,0.6624039906654111,1.968921133588222,32,0.6635789087921996,"{""32"": 0.6635789087921996, ""96"": 0.3364210912078005}"
"32,96",2,induction_long,induction,0.00374516355805099,0.9994792193174362,0,0,32,7.0125654090661556,0.6804072999085135,2.11150344349827,32,0.6853556254083402,"{""32"": 0.6853556254083402, ""96"": 0.31464437459165984}"
"32,96",3,local_a,local_copy,0.00036222056951373816,1.0,1,1,96,0.06494840199593455,0.9895692162041162,1.0624021454781658,96,0.9895692162041162,"{""32"": 0.010430783795883853, ""96"": 0.9895692162041162}"
"32,96",3,local_b,local_copy,0.0002920892075053416,1.0,1,1,96,0.0999157741680392,0.9960868484371802,1.0259281318455027,96,0.9960868484371802,"{""32"": 0.003913151562819812, ""96"": 0.9960868484371802}"
"32,96",3,kv_a,kv_lookup,0.008113329415209591,0.998046875,0,1,96,3.596918697352521,0.5405667152767808,2.0399635007872714,96,0.996479740126359,"{""32"": 0.0035202598736410315, ""96"": 0.996479740126359}"
"32,96",3,kv_b,kv_lookup,0.0036778390931431204,0.998046875,1,1,96,3.5960021674109157,0.5353176462829891,2.0143621767822784,96,0.9987003190248751,"{""32"": 0.0012996809751248425, ""96"": 0.9987003190248751}"
"32,96",3,induction_short,induction,0.0031969293486326933,0.9997209906578064,0,1,96,5.148076082812622,0.7062411737178423,2.040200536185991,96,0.9661983974886752,"{""32"": 0.03380160251132486, ""96"": 0.9661983974886752}"
"32,96",3,induction_long,induction,0.004796041292138398,0.9993490129709244,0,1,96,5.858019338804297,0.5281026196224429,2.7739452641392366,96,0.8197821337891418,"{""32"": 0.18021786621085822, ""96"": 0.8197821337891418}"
"32,96",4,local_a,local_copy,0.0003471457021078095,1.0,1,1,96,0.058572185356752016,0.9893807569266581,1.062477692326393,96,0.9893807569266581,"{""32"": 0.010619243073341986, ""96"": 0.9893807569266581}"
"32,96",4,local_b,local_copy,0.0002878003360820003,1.0,1,1,96,0.09006860921363113,0.9935032181301008,1.040940120045075,96,0.9935032181301008,"{""32"": 0.006496781869899226, ""96"": 0.9935032181301008}"
"32,96",4,kv_a,kv_lookup,0.008822394243907183,0.998046875,0,1,96,3.7275751105626114,0.5632872920029566,2.036274818020571,96,0.9957113062899586,"{""32"": 0.004288693710041363, ""96"": 0.9957113062899586}"
"32,96",4,kv_b,kv_lookup,0.0035180439008399844,1.0,0,1,96,3.455003322218545,0.5261365808420688,2.012729227404576,96,0.9990026077830962,"{""32"": 0.0009973922169036781, ""96"": 0.9990026077830962}"
"32,96",4,induction_short,induction,0.0023495141067542136,0.9994419813156128,0,0,32,1.8424507495365106,0.4238074267049562,2.892331356019948,96,0.5749024517033704,"{""32"": 0.4250975482966296, ""96"": 0.5749024517033704}"
"32,96",4,induction_long,induction,0.00755669258069247,0.998567745089531,0,0,32,6.367730840225704,0.6385589307767835,2.3061045222781225,32,0.64405639515806,"{""32"": 0.64405639515806, ""96"": 0.35594360484194}"
"32,96",5,local_a,local_copy,0.0003859022181131877,1.0,1,1,96,0.08097443231235957,0.9901743388338408,1.0580327142896189,96,0.9901743388338408,"{""32"": 0.009825661166159278, ""96"": 0.9901743388338408}"
"32,96",5,local_b,local_copy,0.0003140688131679781,1.0,1,1,96,0.08065630419150693,0.9897639123471905,1.0587443093828959,96,0.9897639123471905,"{""32"": 0.010236087652809438, ""96"": 0.9897639123471905}"
"32,96",5,kv_a,kv_lookup,0.0019565970287658274,1.0,0,1,96,3.5283979027881287,0.5506355765466047,2.1494723737484445,96,0.9827060320248853,"{""32"": 0.01729396797511471, ""96"": 0.9827060320248853}"
"32,96",5,kv_b,kv_lookup,0.004151185770751908,0.998046875,0,1,96,3.3289226686756592,0.5279704872329596,2.075333185569545,96,0.9934272029516167,"{""32"": 0.006572797048383289, ""96"": 0.9934272029516167}"
"32,96",5,induction_short,induction,0.00042868526361417025,1.0,0,0,32,3.5631461652956204,0.6308949121312669,1.9981946133009774,32,0.6314882943676928,"{""32"": 0.6314882943676928, ""96"": 0.3685117056323072}"
"32,96",5,induction_long,induction,0.005329748208168894,0.9994791895151138,0,0,32,4.170440892165061,0.46211879853838206,2.891180092871583,96,0.5328903150437564,"{""32"": 0.4671096849562436, ""96"": 0.5328903150437564}"
"48,80",1,local_a,local_copy,0.0003328999227960594,1.0,1,1,80,0.029822875680110883,0.9123216041423758,1.3475700192300644,80,0.9124817333317102,"{""48"": 0.08751826666828982, ""80"": 0.9124817333317102}"
"48,80",1,local_b,local_copy,0.00024107001081574708,1.0,1,1,80,0.030890179841662757,0.9334596167488253,1.281412379976359,80,0.9340476827164212,"{""48"": 0.06595231728357868, ""80"": 0.9340476827164212}"
"48,80",1,kv_a,kv_lookup,0.005323274090187624,0.998046875,1,1,80,1.4481346476532053,0.7094049221749181,2.2728701350268934,80,0.9240529607116038,"{""48"": 0.07594703928839619, ""80"": 0.9240529607116038}"
"48,80",1,kv_b,kv_lookup,0.02202569236396812,0.994140625,1,1,80,1.6189882279431913,0.791533900649924,1.9813381305620765,80,0.936522946221787,"{""48"": 0.06347705377821292, ""80"": 0.936522946221787}"
"48,80",1,induction_short,induction,0.0006587182433577254,1.0,0,1,80,3.220670434340718,0.7775020673467294,1.8201939392875675,80,0.983914195925867,"{""48"": 0.016085804074132938, ""80"": 0.983914195925867}"
"48,80",1,induction_long,induction,0.009245814057067037,0.9981771260499954,0,1,80,6.899486719397828,0.6890481162540139,2.384533021986429,80,0.897092698062029,"{""48"": 0.10290730193797111, ""80"": 0.897092698062029}"
"48,80",2,local_a,local_copy,0.000323721906170249,1.0,1,1,80,0.022568849148228765,0.8970686827126261,1.4029424901003187,80,0.8970686827126261,"{""48"": 0.10293131728737394, ""80"": 0.8970686827126261}"
"48,80",2,local_b,local_copy,0.00027489122294355184,1.0,1,1,80,0.03679353818006348,0.9334596757844067,1.2771058631968666,80,0.9334596757844067,"{""48"": 0.06654032421559329, ""80"": 0.9334596757844067}"
"48,80",2,kv_a,kv_lookup,0.0049612677248660475,0.998046875,0,1,80,2.623252316698199,0.6370453354355173,2.1151836231027983,80,0.9771808529208161,"{""48"": 0.022819147079183772, ""80"": 0.9771808529208161}"
"48,80",2,kv_b,kv_lookup,0.002237773936940357,1.0,0,1,80,2.699333630996989,0.6354366032648074,2.0907735782569237,80,0.9792223244882567,"{""48"": 0.020777675511743268, ""80"": 0.9792223244882567}"
"48,80",2,induction_short,induction,0.0012689882059930824,0.9997209906578064,0,0,48,5.04243671362201,0.8588416460602993,1.5621988757473002,48,0.8649870635278711,"{""48"": 0.8649870635278711, ""80"": 0.13501293647212884}"
"48,80",2,induction_long,induction,0.007951238076202571,0.9984375387430191,0,0,48,6.4765824294881895,0.7093030230231423,2.3166084927480894,48,0.7368359182934052,"{""48"": 0.7368359182934052, ""80"": 0.2631640817065948}"
"48,80",3,local_a,local_copy,0.00033188555971719325,1.0,1,1,80,0.02651095631881617,0.9280171053698819,1.2952945754497351,80,0.9280171053698819,"{""48"": 0.07198289463011812, ""80"": 0.9280171053698819}"
"48,80",3,local_b,local_copy,0.0002846423230948858,1.0,1,1,80,0.04272558692173334,0.9495753012561772,1.2211143572040664,80,0.9495753012561772,"{""48"": 0.05042469874382284, ""80"": 0.9495753012561772}"
"48,80",3,kv_a,kv_lookup,0.0017871877935249358,1.0,1,1,80,1.0730979868385475,0.5143330753564156,2.375725233041396,80,0.9558355672023161,"{""48"": 0.04416443279768387, ""80"": 0.9558355672023161}"
"48,80",3,kv_b,kv_lookup,0.002658770128618926,1.0,1,1,80,1.4180328392540105,0.641120074815632,2.1920464151397976,80,0.9661077329333776,"{""48"": 0.03389226706662232, ""80"": 0.9661077329333776}"
"48,80",3,induction_short,induction,0.0008808576676528901,0.9997209906578064,0,1,80,1.5165063536551315,0.4534462356704049,2.978491842910475,80,0.654430262981984,"{""48"": 0.3455697370180161, ""80"": 0.654430262981984}"
"48,80",3,induction_long,induction,0.004270667617674917,0.9997396171092987,0,0,48,3.9861588529893197,0.483596514059466,3.045365869778857,48,0.504834373743273,"{""48"": 0.504834373743273, ""80"": 0.495165626256727}"
"48,80",4,local_a,local_copy,0.00034815366234397516,1.0,1,1,80,0.02677465076703811,0.8753880911389234,1.4666955826511585,80,0.8753880911389234,"{""48"": 0.1246119088610766, ""80"": 0.8753880911389234}"
"48,80",4,local_b,local_copy,0.00028635892522288486,1.0,1,1,80,0.027860039794177283,0.8944329841992605,1.4009429476235191,80,0.8944329841992605,"{""48"": 0.10556701580073949, ""80"": 0.8944329841992605}"
"48,80",4,kv_a,kv_lookup,0.0019723815785255283,1.0,0,1,80,2.5352916674746666,0.6828026718807825,2.101627544468855,80,0.9705772966139956,"{""48"": 0.02942270338600443, ""80"": 0.9705772966139956}"
"48,80",4,kv_b,kv_lookup,0.0015734147164039314,1.0,0,1,80,2.7880361367133446,0.6884903922451407,2.0131766150826893,80,0.981421672300048,"{""48"": 0.018578327699952088, ""80"": 0.981421672300048}"
"48,80",4,induction_short,induction,0.0006086688372306526,1.0,0,0,48,4.888197674241383,0.8820824045306338,1.4720514793963257,48,0.8872796808823574,"{""48"": 0.8872796808823574, ""80"": 0.11272031911764266}"
"48,80",4,induction_long,induction,0.0032255739788524806,0.9997396171092987,0,0,48,6.937770834483672,0.8044803422112697,1.7624258009678258,48,0.8230435793314854,"{""48"": 0.8230435793314854, ""80"": 0.17695642066851455}"
"48,80",5,local_a,local_copy,0.0004016315724584274,1.0,1,1,80,0.02385148511530133,0.8869632145859336,1.4230717567647637,80,0.8869632145859336,"{""48"": 0.11303678541406637, ""80"": 0.8869632145859336}"
"48,80",5,local_b,local_copy,0.0003299385207355954,1.0,1,1,80,0.040492370222636964,0.8967007827011456,1.3941322865303296,80,0.8967007827011456,"{""48"": 0.10329921729885438, ""80"": 0.8967007827011456}"
"48,80",5,kv_a,kv_lookup,0.003184087749104947,1.0,0,1,80,1.9991747064632364,0.6329517452438218,2.1342886639374075,80,0.9766065408717428,"{""48"": 0.023393459128257302, ""80"": 0.9766065408717428}"
"48,80",5,kv_b,kv_lookup,0.01796344679314643,0.998046875,0,1,80,2.22889351088088,0.6447903517988719,2.122702121257078,80,0.974443831137656,"{""48"": 0.025556168862344096, ""80"": 0.974443831137656}"
"48,80",5,induction_short,induction,0.0009409420599695295,1.0,0,0,48,3.891411162127042,0.7196907437563567,2.278670351220295,48,0.7302077788690788,"{""48"": 0.7302077788690788, ""80"": 0.26979222113092116}"
"48,80",5,induction_long,induction,0.006365261855535209,0.9988281428813934,0,0,48,4.949962653336115,0.6311654064903267,2.7187683766577,48,0.6657043865081774,"{""48"": 0.6657043865081774, ""80"": 0.3342956134918225}"
"16,112",1,local_a,local_copy,0.00035274922993266955,1.0,1,1,112,0.2779332756981603,0.9993735215029086,1.0054768685174753,112,0.9993735215029086,"{""16"": 0.0006264784970913884, ""112"": 0.9993735215029086}"
"16,112",1,local_b,local_copy,0.00026941419491777197,1.0,1,1,112,0.2567557345246314,0.9994653865391949,1.0047569793075657,112,0.9995081118084587,"{""16"": 0.0004918881915413451, ""112"": 0.9995081118084587}"
"16,112",1,kv_a,kv_lookup,0.0023651731316931546,1.0,1,1,112,5.424517689913046,0.5067332513968424,2.021602552413643,112,0.9984338676084287,"{""16"": 0.0015661323915713496, ""112"": 0.9984338676084287}"
"16,112",1,kv_b,kv_lookup,0.010386997048044577,0.998046875,1,1,112,5.914344257529592,0.5851412235919897,1.9850935749927907,112,0.9990691239723599,"{""16"": 0.0009308760276401589, ""112"": 0.9990691239723599}"
"16,112",1,induction_short,induction,0.0018306792771909386,0.9997209906578064,1,1,112,3.5659296094381716,0.5531456032766395,2.062575214390219,112,0.9930882750460432,"{""16"": 0.006911724953956696, ""112"": 0.9930882750460432}"
"16,112",1,induction_long,induction,0.00681133265607059,0.9989583939313889,0,1,112,6.968688535736874,0.5540973887086992,2.3341132782187457,112,0.9497195173508894,"{""16"": 0.05028048264911069, ""112"": 0.9497195173508894}"
"16,112",2,local_a,local_copy,0.00038311490061460063,1.0,1,1,112,0.20363795525190653,0.9990608956519383,1.0075128499098787,112,0.9990608956519383,"{""16"": 0.0009391043480616355, ""112"": 0.9990608956519383}"
"16,112",2,local_b,local_copy,0.00032623298466205597,1.0,1,1,112,0.22987974993884563,0.999385739283947,1.0051699041013433,112,0.999385739283947,"{""16"": 0.0006142607160530025, ""112"": 0.999385739283947}"
"16,112",2,kv_a,kv_lookup,0.0025307209289167076,1.0,1,1,112,4.855905029078713,0.529142497591189,1.9990474441952324,112,0.9998665973333487,"{""16"": 0.00013340266665127416, ""112"": 0.9998665973333487}"
"16,112",2,kv_b,kv_lookup,0.005567569256527349,0.998046875,1,1,112,5.207416873454349,0.5849815676768558,1.9756042022866498,112,0.9997543610564574,"{""16"": 0.00024563894354248704, ""112"": 0.9997543610564574}"
"16,112",2,induction_short,induction,0.0010187960870098323,1.0,0,1,112,5.986491646646755,0.6310602937737851,1.95748869601963,112,0.9979149443160953,"{""16"": 0.0020850556839047004, ""112"": 0.9979149443160953}"
"16,112",2,induction_long,induction,0.0035610682098194957,0.9997396171092987,0,1,112,7.1178107970627025,0.5768794666933087,2.2625089669604006,112,0.9601920951452876,"{""16"": 0.03980790485471244, ""112"": 0.9601920951452876}"
"16,112",3,local_a,local_copy,0.000379259763576556,1.0,1,1,112,0.2020192378477077,0.9990776321575296,1.007936826343841,112,0.9990776321575296,"{""16"": 0.0009223678424703142, ""112"": 0.9990776321575296}"
"16,112",3,local_b,local_copy,0.0002902507912949659,1.0,1,1,112,0.23771584926726064,0.9995375669834438,1.0040214176427384,112,0.9995375669834438,"{""16"": 0.0004624330165562189, ""112"": 0.9995375669834438}"
"16,112",3,kv_a,kv_lookup,0.002021140928263776,1.0,1,1,112,5.0518876839923905,0.5131301876603007,2.0003430241832754,112,0.9999527320829797,"{""16"": 4.7267917020241846e-05, ""112"": 0.9999527320829797}"
"16,112",3,kv_b,kv_lookup,0.02789543106337078,0.9921875,1,1,112,5.868250389554305,0.5890175051530572,1.973616433028907,112,0.9996739791756251,"{""16"": 0.0003260208243749361, ""112"": 0.9996739791756251}"
"16,112",3,induction_short,induction,0.0022137417836347595,0.9997209906578064,0,1,112,4.7495968089060625,0.5580783059480697,2.0085133407427302,112,0.9983725514482521,"{""16"": 0.0016274485517479022, ""112"": 0.9983725514482521}"
"16,112",3,induction_long,induction,0.010567342163994908,0.9979166984558105,0,1,112,6.4504297624807805,0.5547395642621793,2.197952734478556,112,0.974334860610936,"{""16"": 0.025665139389063955, ""112"": 0.974334860610936}"
"16,112",4,local_a,local_copy,0.00037611125299008563,1.0,1,1,112,0.19719541595986811,0.9991404855175381,1.0072602121633285,112,0.9991404855175381,"{""16"": 0.0008595144824619283, ""112"": 0.9991404855175381}"
"16,112",4,local_b,local_copy,0.0003270840970799327,1.0,1,1,112,0.1874991060467437,0.99934515769512,1.0055567570227675,112,0.99934515769512,"{""16"": 0.0006548423048799947, ""112"": 0.99934515769512}"
"16,112",4,kv_a,kv_lookup,0.0015238562191370875,1.0,1,1,112,4.697999473515665,0.5268111038484232,1.9996409154307415,112,0.9998710323228441,"{""16"": 0.0001289676771559175, ""112"": 0.9998710323228441}"
"16,112",4,kv_b,kv_lookup,0.01954453781945631,0.998046875,1,1,112,5.232298318587709,0.5620736785558592,1.9878830232129352,112,0.9998115234317982,"{""16"": 0.0001884765682017853, ""112"": 0.9998115234317982}"
"16,112",4,induction_short,induction,0.0006054389232303947,1.0,1,1,112,3.548399533057818,0.6877860865070079,2.2307697223711345,112,0.916833133434947,"{""16"": 0.08316686656505295, ""112"": 0.916833133434947}"
"16,112",4,induction_long,induction,0.00643130240496248,0.9990886002779007,1,1,112,5.158868709229864,0.4628698247081939,2.735740853204009,112,0.605450804568463,"{""16"": 0.39454919543153705, ""112"": 0.605450804568463}"
"16,112",5,local_a,local_copy,0.000416904003941454,1.0,1,1,112,0.14440627278236207,0.9984513058826163,1.0121673077143718,112,0.9984513058826163,"{""16"": 0.0015486941173836896, ""112"": 0.9984513058826163}"
"16,112",5,local_b,local_copy,0.0003437980485614389,1.0,1,1,112,0.13709050943725742,0.9985656571091355,1.0108828178861207,112,0.9985656571091355,"{""16"": 0.0014343428908645754, ""112"": 0.9985656571091355}"
"16,112",5,kv_a,kv_lookup,0.004553606791887432,1.0,1,1,112,5.089906403736677,0.5331626980967955,2.030690205207109,112,0.9972686048380202,"{""16"": 0.002731395161979867, ""112"": 0.9972686048380202}"
"16,112",5,kv_b,kv_lookup,0.001365557371173054,1.0,1,1,112,4.6817153542651795,0.5469572883561402,1.993005876300635,112,0.9999105299921458,"{""16"": 8.947000785412356e-05, ""112"": 0.9999105299921458}"
"16,112",5,induction_short,induction,0.0005725345836253837,1.0,0,1,112,4.866643337227288,0.5514377119110169,2.18051561473355,112,0.9768190920532196,"{""16"": 0.023180907946780436, ""112"": 0.9768190920532196}"
"16,112",5,induction_long,induction,0.005826623411849141,0.9988281726837158,0,1,112,6.349343626527116,0.4505307163118626,2.8783402039743184,112,0.7925030467789449,"{""16"": 0.20749695322105513, ""112"": 0.7925030467789449}"
